Tiempo;Velocidad;
0,2;1,96;
0,4;3,853;
0,6;5,681;
0,8;7,446;
1,0;9,151;
1,2;10,797;
1,4;12,387;
1,6;13,922;
1,8;15,405;
2,0;16,837;
2,2;18,22;
2,4;19,555;
2,6;20,845;
2,8;22,09;
3,0;23,293;
3,2;24,454;
3,4;25,576;
3,6;26,659;
3,8;27,705;
4,0;28,715;
4,2;29,69;
4,4;30,632;
4,6;31,542;
4,8;32,421;
5,0;33,269;
5,2;34,088;
5,4;34,879;
5,6;35,643;
5,8;36,381;
6,0;37,094;
6,2;37,782;
6,4;38,447;
6,6;39,089;
6,8;39,709;
7,0;40,308;
7,2;40,886;
7,4;41,444;
7,6;41,983;
7,8;42,504;
8,0;43,007;
8,2;43,492;
8,4;43,961;
8,6;44,414;
8,8;44,851;
9,0;45,273;
9,2;45,681;
9,4;46,075;
9,6;46,455;
9,8;46,822;
10,0;47,177;
10,2;47,52;
10,4;47,851;
10,6;48,17;
10,8;48,478;
11,0;48,776;
11,2;49,064;
11,4;49,342;
11,6;49,61;
11,8;49,869;
12,0;50,119;
12,2;50,361;
12,4;50,594;
12,6;50,819;
12,8;51,037;
13,0;51,247;
13,2;51,45;
13,4;51,646;
13,6;51,835;
13,8;52,018;
14,0;52,195;
14,2;52,365;
14,4;52,53;
14,6;52,689;
14,8;52,843;
15,0;52,991;
15,2;53,134;
15,4;53,272;
15,6;53,406;
15,8;53,535;
16,0;53,66;
16,2;53,78;
16,4;53,896;
16,6;54,008;
16,8;54,116;
17,0;54,221;
17,2;54,322;
17,4;54,42;
17,6;54,514;
17,8;54,605;
18,0;54,693;
18,2;54,778;
18,4;54,86;
18,6;54,939;
18,8;55,015;
19,0;55,089;
19,2;55,16;
19,4;55,229;
19,6;55,295;
19,8;55,359;
20,0;55,421;
20,2;55,481;
20,4;55,539;
20,6;55,595;
20,8;55,649;
21,0;55,701;
21,2;55,751;
21,4;55,8;
21,6;55,847;
21,8;55,892;
22,0;55,936;
22,2;55,978;
22,4;56,019;
22,6;56,058;
22,8;56,096;
23,0;56,133;
23,2;56,168;
23,4;56,202;
23,6;56,235;
23,8;56,267;
24,0;56,298;
24,2;56,328;
24,4;56,357;
24,6;56,385;
24,8;56,412;
25,0;56,438;
25,2;56,463;
25,4;56,487;
25,6;56,51;
25,8;56,533;
26,0;56,555;
26,2;56,576;
26,4;56,596;
26,6;56,616;
26,8;56,635;
27,0;56,653;
27,2;56,671;
27,4;56,688;
27,6;56,704;
27,8;56,72;
28,0;56,735;
28,2;56,75;
28,4;56,764;
28,6;56,778;
28,8;56,791;
29,0;56,804;
29,2;56,816;
29,4;56,828;
29,6;56,84;
29,8;56,851;
30,0;56,862;
30,2;56,872;
30,4;56,882;
30,6;56,892;
30,8;56,901;
31,0;56,91;
31,2;56,919;
31,4;56,927;
31,6;56,935;
31,8;56,943;
32,0;56,951;
32,2;56,958;
32,4;56,965;
32,6;56,972;
32,8;56,979;
33,0;56,985;
33,2;56,991;
33,4;56,997;
33,6;57,003;
33,8;57,009;
34,0;57,014;
34,2;57,019;
34,4;57,024;
34,6;57,029;
34,8;57,034;
35,0;57,039;
35,2;57,043;
35,4;57,047;
35,6;57,051;
35,8;57,055;
36,0;57,059;
36,2;57,063;
36,4;57,067;
36,6;57,07;
36,8;57,073;
37,0;57,076;
37,2;57,079;
37,4;57,082;
37,6;57,085;
37,8;57,088;
38,0;57,091;
38,2;57,094;
38,4;57,096;
38,6;57,098;
38,8;57,1;
39,0;57,102;
39,2;57,104;
39,4;57,106;
39,6;57,108;
39,8;57,11;
40,0;57,112;
40,2;57,114;
40,4;57,116;
40,6;57,118;
40,8;57,12;
41,0;57,122;
41,2;57,124;
41,4;57,125;
41,6;57,126;
41,8;57,127;
42,0;57,128;
42,2;57,129;
42,4;57,13;
42,6;57,131;
42,8;57,132;
43,0;57,133;
43,2;57,134;
43,4;57,135;
43,6;57,136;
43,8;57,137;
44,0;57,138;
44,2;57,139;
44,4;57,14;
44,6;57,141;
44,8;57,142;
45,0;57,143;
45,2;57,144;
45,4;57,145;
45,6;57,146;
45,8;57,147;
46,0;57,148;
46,2;57,149;
46,4;57,15;
46,6;57,151;
46,8;57,152;
47,0;57,153;
47,2;57,153;
47,4;57,153;
47,6;57,153;
47,8;57,153;
48,0;57,153;
48,2;57,153;
48,4;57,153;
48,6;57,153;
48,8;57,153;
49,0;57,153;
49,2;57,153;
49,4;57,153;
49,6;57,153;
49,8;57,153;
50,0;57,153;
